DateTime;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;Fraud
2025-07-02 17:20;-0.6;1.51;-1.13;0.23;0.57;-0.26;-0.71;0.02;0.51;0.99;1
2025-07-02 17:21;0.76;0.4;-0.15;0.25;-1.75;0.13;-0.7;0.09;-0.03;0.62;1
2025-07-02 17:22;1.11;-0.35;-0.01;1.65;2.08;0.41;2.36;0.75;0.27;-0.49;1
2025-07-02 17:23;0.77;0.83;-1.32;-1.01;-0.3;-1.93;0.94;-1.35;-0.23;-0.44;1
2025-07-02 17:24;-0.72;1.29;0.8;-0.66;0.1;-0.65;-0.84;1.5;0.71;0.28;1
2025-07-02 17:25;2.43;-0.44;-0.16;-0.94;0.18;1.04;0.16;0.21;0.72;-0.8;1
2025-07-02 17:26;-1.77;-0.43;1.08;-1.67;0.61;0.87;-0.36;0.27;0.46;1.81;1
2025-07-02 17:27;-1.03;-0.55;-1.84;1.76;-1.52;0.28;0.58;-0.4;0.61;0.36;1
2025-07-02 17:28;0.17;0.96;-1.02;-1.24;-0.01;-1.35;0.54;0.54;-0.94;0.39;1
2025-07-02 17:29;0.09;0.97;0.52;-0.82;-0.66;0.59;1.08;0.05;0.32;0.68;1
2025-07-02 17:30;0.49;1.39;-0.8;1.32;-1.69;0.71;-0.85;1.21;1.25;-0.58;1
2025-07-02 17:31;1.58;1.01;-0.16;-1.75;0.99;0.05;0.1;-1.44;0.49;1.09;1
2025-07-02 17:32;-0.12;-1.63;0.0;0.76;-0.35;1.22;-1.75;0.18;-1.03;0.11;1
2025-07-02 17:33;0.11;0.28;0.16;-1.41;0.24;-0.68;-1.26;0.41;-0.05;0.95;1
2025-07-02 17:34;-0.59;-1.06;-0.68;1.25;0.18;-0.51;0.88;-0.19;0.37;-0.2;1
2025-07-02 17:35;0.59;-0.51;0.15;-2.17;-0.33;-2.48;-0.95;-0.4;-0.76;1.32;1
2025-07-02 17:36;-0.32;0.17;-0.78;-1.75;1.98;0.92;-0.84;-0.36;-1.36;0.4;1
2025-07-02 17:37;-0.32;0.84;0.67;-0.54;-0.05;0.31;-0.01;0.17;-0.32;2.18;1
2025-07-02 17:38;0.54;-0.89;-0.11;0.97;-1.56;-1.68;0.69;-1.81;-0.74;-0.37;1
2025-07-02 17:39;1.03;-2.32;0.16;-0.03;-0.4;-1.76;-1.06;0.97;-0.01;0.2;1
2025-07-02 17:40;-2.21;0.18;2.57;-0.34;0.5;-0.87;-3.48;-0.48;-1.59;-1.03;1
2025-07-02 17:41;0.36;2.64;-1.11;1.35;0.53;0.79;-0.87;0.13;0.56;-0.53;1
2025-07-02 17:42;-0.27;-0.2;1.39;2.16;-1.09;-0.3;1.21;0.37;-0.63;0.62;1
2025-07-02 17:43;0.95;0.05;-2.66;0.67;0.93;-0.8;0.34;-0.53;1.0;1.13;1
2025-07-02 17:44;-0.25;1.78;-2.08;-0.62;-1.76;-1.01;1.32;-0.13;-0.28;2.97;1
2025-07-02 17:45;1.3;0.59;-1.24;-0.42;1.14;-1.05;-1.13;-2.04;-0.03;-0.1;1
2025-07-02 17:46;-0.68;0.22;-1.18;-1.29;-1.32;-1.93;-1.64;0.73;-0.17;-0.93;1
2025-07-02 17:47;-2.23;0.44;0.2;0.1;-0.23;-1.21;0.46;1.08;-0.69;0.75;1
2025-07-02 17:48;1.05;0.25;0.29;-1.63;1.06;-1.07;0.24;-1.7;2.47;-1.13;1
2025-07-02 17:49;-0.84;-1.14;-0.25;0.55;0.12;0.68;0.31;-0.41;-0.5;0.56;1
2025-07-02 17:50;-1.58;-1.34;-0.15;2.01;0.82;-0.17;0.93;-1.23;1.02;-0.5;1
2025-07-02 17:51;0.02;1.89;0.53;0.72;0.62;-0.83;0.42;-0.18;-1.09;0.21;1
2025-07-02 17:52;-0.24;0.18;0.83;-0.47;1.29;2.31;0.41;0.65;0.37;1.09;1
2025-07-02 17:53;0.82;0.1;-1.33;0.53;1.06;-0.66;0.72;0.99;0.48;-0.11;1
2025-07-02 17:54;0.89;-0.09;-0.36;1.62;-0.45;1.17;0.5;1.12;-0.02;0.93;1
2025-07-02 17:55;0.1;0.78;-0.07;1.57;0.63;1.62;0.86;1.31;-0.57;0.87;1
2025-07-02 17:56;-0.88;2.54;0.49;-1.0;-1.53;-1.57;1.01;-0.22;-0.26;-1.86;1
2025-07-02 17:57;0.29;0.52;-0.77;0.51;-0.06;0.07;1.53;-1.15;-0.4;-0.9;1
2025-07-02 17:58;0.17;-0.59;-0.09;-0.16;0.82;-0.52;-0.65;-0.11;2.4;-1.56;1
2025-07-02 17:59;0.57;-0.13;0.03;0.81;0.13;-0.6;0.48;0.63;-0.02;2.0;1
2025-07-02 18:00;-0.87;1.07;-0.7;0.38;0.45;0.56;-0.37;-1.23;0.52;-0.11;1
2025-07-02 18:01;-0.4;-0.58;-0.73;-2.37;-0.21;-0.62;-0.83;1.66;1.78;1.78;1
2025-07-02 18:02;0.51;0.85;0.1;-0.35;1.13;-0.5;-0.69;0.9;-0.88;-1.63;1
2025-07-02 18:03;1.25;-2.32;-0.13;0.2;-0.08;-0.17;0.49;-0.21;0.04;-0.57;1
2025-07-02 18:04;0.97;-0.23;0.5;-1.43;-0.47;-0.37;0.42;-0.71;-0.27;0.8;1
2025-07-02 18:05;0.08;0.63;-1.05;0.58;0.89;-1.17;0.4;-0.67;-0.09;0.18;1
2025-07-02 18:06;-0.49;1.27;-0.35;-1.52;-1.41;0.8;-0.23;0.07;-0.18;0.53;1
2025-07-02 18:07;0.4;-0.82;-0.23;-0.8;0.5;1.05;0.0;-0.23;-0.73;-1.25;1
2025-07-02 18:08;-1.09;-1.5;0.81;1.34;-1.04;0.34;0.82;0.95;0.2;1.38;1
2025-07-02 18:09;-0.82;-0.26;-0.94;-0.88;1.28;-0.38;-1.49;-0.34;-1.06;0.78;1
